OrganisationLabel,OrganisationURI,EffectiveDate,UPRN,AssetCode,PropertyName,StreetNumber,StreetName,PostTown,PostCode,CoordinateReferenceSystem,GeoX,GeoY,TenureType,TenureDetail,OtherDetail,HoldingType,BuildingSize,LandArea,EnergyRating
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0387,Sale War Memorial,,School Road,Sale,M33 7XY,,,,Freehold,Other,Memorial,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0388,Chester Road,,,Stretford,M32,WGS84,-2.29529,53.45758,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0389,Urmston War Memorial,,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0390,Hale Barns War Memorial,,,Hale,WA15,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0391,Millennium Clock - Hale,,,Hale,WA15,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0392,Millennium Clock - Urmston,,,Urmston,M41,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0393,St Anthony's Church War Memorial,,,Trafford Park,M17,,,,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0394,Stretford Civilian War Memorial,,Stretford Cemetery,Stretford,M32 8HX,WGS84,-2.30476,53.44303,Freehold,Leasehold Out,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,,TMBC0395,Stretford War Memorial,,,Stretford,M32,WGS84,-2.29649,53.45658,Freehold,Vacant,,Land,,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,100012710993,TMBC0396/P0000036,Davyhulme Youth Centre,,Davyhulme Road,Davyhulme,M31 2DN,WGS84,53.457484,-2.365856,Freehold,Other,Undocumented Tenancy,Buildings,273,,
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2022-10-18,10070405053,TMBC0397/B0000066,Gorse Hill Youth Centre,,Cavendish Road,Stretford,M32 0PS,WGS84,-2.29768,53.45606,Freehold,Other,Undocumented Tenancy,Buildings,863,,
